,event_id,commence_time,home_team,away_team,bookmaker,market,outcome,price,line
0,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,h2h,Chicago Bears,260,
1,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,h2h,Washington Commanders,-360,
2,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,spreads,Chicago Bears,-110,2.5
3,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,spreads,Washington Commanders,-120,-2.5
4,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,totals,Over,-120,54.5
5,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14T00:16:00Z,Washington Commanders,Chicago Bears,draftkings,totals,Under,-110,54.5
6,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,h2h,Cincinnati Bengals,215,
7,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,h2h,Pittsburgh Steelers,-265,
8,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,spreads,Cincinnati Bengals,-108,5.5
9,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,spreads,Pittsburgh Steelers,-112,-5.5
10,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,totals,Over,-115,42.5
11,6076f9eab496770efc0ab7095b27c122,2025-10-17T00:16:00Z,Cincinnati Bengals,Pittsburgh Steelers,draftkings,totals,Under,-105,42.5
12,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,h2h,Jacksonville Jaguars,140,
13,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,h2h,Los Angeles Rams,-166,
14,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,spreads,Jacksonville Jaguars,-102,3.0
15,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,spreads,Los Angeles Rams,-118,-3.0
16,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,totals,Over,-105,45.5
17,79de65f1b97c9145ebdcb019eb486500,2025-10-19T13:31:00Z,Jacksonville Jaguars,Los Angeles Rams,draftkings,totals,Under,-115,45.5
18,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,h2h,Carolina Panthers,-135,
19,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,h2h,New York Jets,114,
20,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,spreads,Carolina Panthers,-115,-1.5
21,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,spreads,New York Jets,-105,1.5
22,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,totals,Over,-112,42.5
23,ba4e8bfa1f4eeaa74c7b09f409361c0d,2025-10-19T17:01:00Z,New York Jets,Carolina Panthers,draftkings,totals,Under,-108,42.5
24,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,h2h,Cleveland Browns,-142,
25,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,h2h,Miami Dolphins,120,
26,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,spreads,Cleveland Browns,-115,-2.5
27,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,spreads,Miami Dolphins,-105,2.5
28,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,totals,Over,-110,40.5
29,f0336c9a3749716250afba387d157377,2025-10-19T17:01:00Z,Cleveland Browns,Miami Dolphins,draftkings,totals,Under,-110,40.5
30,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,h2h,Kansas City Chiefs,-800,
31,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,h2h,Las Vegas Raiders,550,
32,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,spreads,Kansas City Chiefs,-112,-11.5
33,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,spreads,Las Vegas Raiders,-108,11.5
34,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,totals,Over,-108,45.5
35,3127c0dd6ed51a44354af51791bc3e5a,2025-10-19T17:01:00Z,Kansas City Chiefs,Las Vegas Raiders,draftkings,totals,Under,-112,45.5
36,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,h2h,Minnesota Vikings,124,
37,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,h2h,Philadelphia Eagles,-148,
38,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,spreads,Minnesota Vikings,-112,2.5
39,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,spreads,Philadelphia Eagles,-108,-2.5
40,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,totals,Over,-105,43.5
41,6a8d2daf7f75100d02656bc0217737e8,2025-10-19T17:01:00Z,Minnesota Vikings,Philadelphia Eagles,draftkings,totals,Under,-115,43.5
42,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,h2h,New England Patriots,-375,
43,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,h2h,Tennessee Titans,295,
44,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,spreads,New England Patriots,-115,-7.0
45,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,spreads,Tennessee Titans,-105,7.0
46,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,totals,Over,-108,42.5
47,f7fa9341eeffb08f7e6e769398cd32e2,2025-10-19T17:01:00Z,Tennessee Titans,New England Patriots,draftkings,totals,Under,-112,42.5
48,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,h2h,Denver Broncos,-360,
49,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,h2h,New York Giants,285,
50,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,spreads,Denver Broncos,-110,-7.0
51,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,spreads,New York Giants,-110,7.0
52,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,totals,Over,-105,40.5
53,3be866344dfa050e602a6e69170b3cbe,2025-10-19T20:06:00Z,Denver Broncos,New York Giants,draftkings,totals,Under,-115,40.5
54,a0ad5501e9d1d2ee9f61d9f293374f17,2025-10-19T20:06:00Z,Los Angeles Chargers,Indianapolis Colts,draftkings,h2h,Indianapolis Colts,102,
