,event_id,commence_date,bookmaker,team,is_home,opponent,home_team,away_team,moneyline,spread,spread_odds,total_ou,over_odds,under_odds,week_label,opponent_pro_team_id,opponent_division,opponent_conference,pro_team_id,division,conference
0,32ec2bd4ac9e4c40f9f5cbed7e67f837,2025-11-13 00:00:00-06:00,draftkings,New England Patriots,1,New York Jets,New England Patriots,New York Jets,-800,-11.5,-110,43.5,-110.0,-110.0,11,20,AFC East,AFC (American Football Conference),17,AFC East,AFC (American Football Conference)
27,96ce7785b0980b03282c7e10d4c58d4a,2025-11-16 00:00:00-06:00,draftkings,Kansas City Chiefs,0,Denver Broncos,Denver Broncos,Kansas City Chiefs,-185,-3.5,-110,43.5,-115.0,-105.0,11,7,AFC West,AFC (American Football Conference),12,AFC West,AFC (American Football Conference)
26,cc60225b5a907bd9ba7c27c23131fc5c,2025-11-16 00:00:00-06:00,draftkings,Baltimore Ravens,0,Cleveland Browns,Cleveland Browns,Baltimore Ravens,-470,-8.5,-105,41.5,-108.0,-112.0,11,5,AFC North,AFC (American Football Conference),33,AFC North,AFC (American Football Conference)
25,e926e654cedeb65fcfcc389a5158ef4e,2025-11-16 00:00:00-06:00,draftkings,Seattle Seahawks,0,Los Angeles Rams,Los Angeles Rams,Seattle Seahawks,130,2.5,-102,48.5,-108.0,-112.0,11,14,NFC West,NFC (National Football Conference),26,NFC West,NFC (National Football Conference)
24,91630b9c62640117918fa30d2a62d2db,2025-11-16 00:00:00-06:00,draftkings,San Francisco 49ers,0,Arizona Cardinals,Arizona Cardinals,San Francisco 49ers,-148,-2.5,-115,48.5,-115.0,-105.0,11,22,NFC West,NFC (National Football Conference),25,NFC West,NFC (National Football Conference)
23,591fd7cff37201a14cbdfbd457592445,2025-11-16 00:00:00-06:00,draftkings,Los Angeles Chargers,0,Jacksonville Jaguars,Jacksonville Jaguars,Los Angeles Chargers,-148,-3.0,-102,43.5,-118.0,-102.0,11,30,AFC South,AFC (American Football Conference),24,AFC West,AFC (American Football Conference)
22,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 00:00:00-06:00,draftkings,Houston Texans,0,Tennessee Titans,Tennessee Titans,Houston Texans,-375,-7.5,-110,39.5,-110.0,-110.0,11,10,AFC South,AFC (American Football Conference),34,AFC South,AFC (American Football Conference)
21,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 00:00:00-06:00,draftkings,Green Bay Packers,0,New York Giants,New York Giants,Green Bay Packers,-410,-7.5,-110,44.5,-110.0,-110.0,11,19,NFC East,NFC (National Football Conference),9,NFC North,NFC (National Football Conference)
20,7147476b5d96c0ee874b838de3910ee3,2025-11-16 00:00:00-06:00,draftkings,Cincinnati Bengals,0,Pittsburgh Steelers,Pittsburgh Steelers,Cincinnati Bengals,185,5.5,-115,49.5,-112.0,-108.0,11,23,AFC North,AFC (American Football Conference),4,AFC North,AFC (American Football Conference)
19,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 00:00:00-06:00,draftkings,Chicago Bears,0,Minnesota Vikings,Minnesota Vikings,Chicago Bears,140,3.0,-112,48.5,-110.0,-110.0,11,16,NFC North,NFC (National Football Conference),3,NFC North,NFC (National Football Conference)
